dataid,prediction
1,1994.44982756
2,2003.69770357
3,2000.37743914
4,2004.73969496
5,2003.48109324
6,1999.19882114
7,2001.7573498
8,1999.84718709
9,1999.61289913
10,2002.13413811
11,2004.99857319
12,2003.79626754
13,2001.77411453
14,2005.42997268
15,2004.75927216
16,2002.27278305
17,2004.17728061
18,2002.63733049
19,2007.04605383
20,2003.79901683
21,2005.45819571
22,2004.48877682
23,2004.06995637
24,2006.60571506
25,2003.28180869
26,1998.21838709
27,2006.12118107
28,2006.7190597
29,1997.13975679
30,1999.65167796
31,2000.75278118
32,1999.66759589
33,1998.34468178
34,1994.97196255
35,1998.83047773
36,1996.78371233
37,1999.98027062
38,2001.50681238
39,2002.043309
40,1997.52241824
41,2009.91650777
42,2009.68978258
43,2007.04873301
44,1997.40857773
45,2005.88261668
46,2008.33495475
47,2009.91606933
48,2003.20930634
49,2006.91366013
50,2009.68626886
51,2002.11333878
52,2009.30631724
53,2006.58270441
54,2004.58957822
55,2008.25618345
56,2009.65295999
57,2012.77896655
58,2009.7041124
59,2005.19508024
60,2006.00132605
61,2005.28500472
62,2008.58342897
63,2006.46251891
64,2005.27696125
65,2000.43991076
66,2009.80435851
67,2007.22962202
68,2005.35181146
69,2013.29794163
70,2004.26716952
71,1989.92436541
72,1981.46931184
73,1992.44189332
74,1987.30339431
75,1996.61323538
76,1999.82556544
77,1994.30793889
78,2000.33393029
79,2002.27111642
80,1999.7080446
81,2002.85311549
82,1999.68586083
83,1999.57146742
84,2001.08391967
85,2000.53028688
86,2002.1799846
87,1998.8611124
88,2005.77457118
89,2007.03753238
90,2000.01758355
91,1993.28367182
92,1989.61207217
93,1996.72404654
94,1989.43729147
95,1991.12884932
96,1992.25269835
97,1990.71839014
98,1992.13042084
99,1990.63562222
100,1997.84398103
101,1995.17384885
102,1998.79842374
103,2000.06531994
104,1995.09923365
105,2000.08914298
106,2001.5616196
107,1997.05823829
108,1996.43250308
109,1994.19809176
110,1995.88777648
111,1999.62643022
112,1998.52994121
113,1997.76244047
114,1996.46536328
115,1995.26407774
116,1993.43960991
117,1995.27883632
118,1997.75553715
119,1994.19544966
120,1996.78527311
121,1998.89338055
122,1997.82538547
123,1986.21705002
124,1985.92728164
125,1988.08387696
126,1985.59961956
127,1989.28639823
128,1998.71209043
129,1987.40153483
130,2001.39432616
131,2002.50370542
132,2001.8689646
133,2005.04259126
134,2002.37362883
135,2003.56809369
136,2002.53002811
137,2002.88015233
138,2001.39117358
139,2002.74665351
140,2002.38184243
141,2003.04381485
142,2000.43622163
143,2001.29150063
144,2001.3391376
145,2000.46275644
146,1996.61071798
147,2000.06946559
148,1999.87088506
149,1998.34831833
150,2002.14585649
151,2002.26665016
152,2003.91388088
153,1997.35467326
154,1999.27305863
155,1999.71153574
156,1999.69272252
157,1998.80422543
158,1999.38177021
159,1999.65492852
160,1999.87643718
161,2000.09120931
162,2000.24890013
163,1997.68175941
164,1990.03318874
165,2000.15575004
166,2001.23498846
167,2002.28180972
168,2001.85021324
169,2002.44709581
170,1997.19478772
171,2000.42952985
172,2003.6641693
173,2002.05269338
